Order Date,What is your current level of education?,Do you have any dietary requirements?,I wish to be contacted by sponsors about future opportunities,What year of study?
17/01/2024 14:39,Undergraduate,N/A,TRUE,4th Year
17/01/2024 14:39,Undergraduate,N/A,TRUE,4th Year
17/01/2024 14:39,Undergraduate,N/A,TRUE,4th Year
18/01/2024 09:59,Undergraduate,N/A,TRUE,2nd Year
18/01/2024 10:01,Undergraduate,N/A,TRUE,1st Year
18/01/2024 10:01,Undergraduate,N/A,TRUE,1st Year
18/01/2024 12:13,Other,N/A,TRUE,Unspecified
19/01/2024 12:25,Graduate,Vegetarian,TRUE,Unspecified
22/01/2024 09:42,Other,Gluten-free,TRUE,Unspecified
22/01/2024 17:14,Graduate,Vegetarian,TRUE,Unspecified
23/01/2024 11:08,Undergraduate,N/A,TRUE,2nd Year
23/01/2024 19:45,Undergraduate,N/A,TRUE,Unspecified
24/01/2024 11:52,Undergraduate,N/A,TRUE,2nd Year
24/01/2024 14:14,Undergraduate,N/A,TRUE,3rd Year
24/01/2024 15:07,Undergraduate,N/A,FALSE,2nd Year
25/01/2024 12:24,Undergraduate,N/A,TRUE,3rd Year
25/01/2024 12:27,Graduate,Vegetarian,TRUE,Unspecified
25/01/2024 11:33,Undergraduate,N/A,TRUE,1st Year
25/01/2024 13:10,Graduate,Vegetarian,TRUE,Unspecified
25/01/2024 13:24,Graduate,Other,TRUE,Unspecified
25/01/2024 14:47,Graduate,Vegetarian | Vegan,TRUE,Unspecified
25/01/2024 15:54,Other,N/A,TRUE,Unspecified
25/01/2024 20:51,Graduate,N/A,TRUE,Unspecified
26/01/2024 15:38,Undergraduate,N/A,TRUE,4th Year
26/01/2024 18:09,Undergraduate,N/A,FALSE,Unspecified
26/01/2024 18:09,Undergraduate,N/A,FALSE,Unspecified
27/01/2024 09:23,Undergraduate,N/A,TRUE,2nd Year
25/01/2024 13:24,Undergraduate,N/A,TRUE,1st Year
26/01/2024 18:12,Undergraduate,N/A,FALSE,1st Year
26/01/2024 18:12,Undergraduate,N/A,TRUE,2nd Year
28/01/2024 10:29,Graduate,Vegetarian,TRUE,Unspecified
28/01/2024 17:09,Undergraduate,N/A,TRUE,3rd Year
29/01/2024 17:43,Graduate,N/A,TRUE,Unspecified
30/01/2024 04:24,Undergraduate,N/A,TRUE,4th Year
30/01/2024 19:52,Undergraduate,N/A,TRUE,3rd Year
30/01/2024 19:52,Undergraduate,N/A,TRUE,3rd Year
30/01/2024 20:05,Undergraduate,N/A,TRUE,Unspecified
30/01/2024 20:05,Undergraduate,N/A,FALSE,3rd Year
31/01/2024 02:43,Undergraduate,N/A,TRUE,4th Year
31/01/2024 02:43,Undergraduate,N/A,TRUE,4th Year
01/02/2024 09:56,Undergraduate,Other,FALSE,3rd Year
